,,,,,1.10,,,,,,1.15,,,,,,1.20,,,,,,1.25,,,,,,1.30,,,,,,1.35,,,,,,1.40,,,,,,1.45,,,,,,1.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma,A/A*,p/p0,T/T0,r/r0,c/c0,Ma
1,0.5846792891,0.9523809524,0.6139132535,0.9759000729,1,1,0.5743832598,0.9302325581,0.6174620043,0.9644856443,1,1,0.5644739301,0.9090909091,0.6209213231,0.9534625892,1,1,0.5549289573,0.8888888889,0.624295077,0.9428090416,1,1,0.5457277338,0.8695652174,0.6275868939,0.9325048082,1,1,0.5368512184,0.8510638298,0.6308001816,0.922531208,1,1,0.5282817877,0.8333333333,0.6339381453,0.9128709292,1,1,0.5200031045,0.8163265306,0.637003803,0.9035079029,1,1,0.512,0.8,0.64,0.894427191,1
1.000094867,0.5785586574,0.9514702594,0.6080680417,0.9754333701,1.01,1.000092633,0.5682453286,0.928929896,0.6117203581,0.9638100933,1.01,1.000090502,0.5583246305,0.9074327819,0.6152793261,0.9525926632,1.01,1.000088467,0.5487735532,0.8869081274,0.6187490409,0.9417579983,1.01,1.000086522,0.5395708991,0.8672914056,0.6221333403,0.9312848144,1.01,1.00008466,0.5306971056,0.8485236749,0.6254358261,0.9211534481,1.01,1.000082876,0.5221340866,0.8305509875,0.628659883,0.9113457014,1.01,1.000081166,0.5138650942,0.8133238717,0.6318086952,0.9018447048,1.01,1.000079526,0.5058745941,0.7967968766,0.6348852625,0.8926347946,1.01
1.000378039,0.5724479979,0.9505522709,0.6022267428,0.9749627023,1.02,1.000369026,0.5621214716,0.9276179698,0.60598381,0.9631292591,1.02,1.000360434,0.5521933212,0.9057642839,0.6096435143,0.9517164934,1.02,1.000352232,0.5426398723,0.8849165966,0.6132101877,0.9407000567,1.02,1.000344396,0.5334393425,0.8650070066,0.6166878862,0.9300575286,1.02,1.0003369,0.5245716522,0.8459735887,0.6200804129,0.9197682255,1.02,1.000329724,0.5160182589,0.827759751,0.6233913382,0.9098130308,1.02,1.000322847,0.5077620097,0.8103136724,0.6266240185,0.9001742456,1.02,1.000316252,0.4997870113,0.7935878105,0.629781613,0.8908354565,1.02
1.000847489,0.5663485146,0.949627034,0.5963904716,0.9744880882,1.03,1.000827034,0.556012881,0.9262968735,0.6002534359,0.9624431794,1.03,1.000807542,0.5460811736,0.9040855627,0.6040149253,0.9508341405,1.03,1.000788949,0.5365290581,0.8829145008,0.6076795179,0.939635302,1.03,1.000771192,0.5273341723,0.8627122811,0.6112514959,0.9288230623,1.03,1.000754217,0.5184759264,0.8434138864,0.6147348707,0.9183756782,1.03,1.000737974,0.5099353275,0.8249599894,0.6181334053,0.9082730809,1.03,1.000722415,0.5016948249,0.8072963444,0.6214506339,0.8984967136,1.03,1.0007075,0.4937381733,0.7903732538,0.6246898803,0.8890293886,1.03
1.001501349,0.5602613912,0.9486945962,0.5905603272,0.9740095463,1.04,1.00146466,0.5499207257,0.9249667012,0.5945302949,0.9617518917,1.04,1.001429721,0.539989333,0.9023967658,0.5983945792,0.9499456647,1.04,1.001396411,0.5304422246,0.8809020437,0.6021580134,0.9385638197,1.04,1.001364619,0.5212564652,0.860407489,0.6058251141,0.9275815269,1.04,1.001334242,0.5124109617,0.8408448809,0.6094001086,0.9169759435,1.04,1.001305188,0.5038862787,0.8221520652,0.6128869585,0.9067260144,1.04,1.001277373,0.4956644752,0.8042722944,0.6162893819,0.8968122961,1.04,1.001250719,0.4877289613,0.7871536524,0.6196108725,0.8872168012,1.04
1.002337896,0.5541877911,0.9477550053,0.5847373931,0.9735270953,1.05,1.002280052,0.5438461508,0.9236275472,0.5888154294,0.961055434,1.05,1.002225002,0.5339189177,0.900698041,0.5927834783,0.9490511266,1.05,1.002172549,0.5243804561,0.8788794287,0.5966466377,0.9374856952,1.05,1.002122513,0.5152072653,0.8580928886,0.6004096668,0.9263330333,1.05,1.002074731,0.5063777573,0.8382668832,0.6040770159,0.9155691581,1.05,1.002029054,0.4978720623,0.8193363376,0.607652852,0.9051719934,1.05,1.001985345,0.4896718576,0.801241925,0.6111410827,0.8951211789,1.05,1.00194348,0.481760217,0.7839294463,0.6145453769,0.8853979028,1.05
1.003355551,0.5481288575,0.9468083092,0.5789227367,0.9730407541,1.06,1.003271495,0.5377902779,0.922279506,0.5831098647,0.9603538442,1.06,1.00319155,0.5278710193,0.8989895358,0.5871826071,0.9481505871,1.06,1.00311542,0.5183448074,0.8768468587,0.5911463356,0.9364010138,1.06,1.00304284,0.5091875849,0.8557687371,0.5950060605,0.9250776924,1.06,1.002973567,0.5003772781,0.8356802019,0.5987664623,0.9141554583,1.06,1.002907379,0.4918935919,0.8165131622,0.6024319198,0.9036111787,1.06,1.002844075,0.4837178311,0.7982056337,0.606006536,0.8934235467,1.06,1.00278347,0.4758327426,0.7807010696,0.60949416,0.8835729,1.06
