Time,Mass,Temperature,Pressure,Mass_Flow_Rate
0.0,23.22411034239306,300.0,20000000.0,-3.7333164819572957
0.010101010101010102,23.186436464498072,299.80524378728813,19954593.550445627,-3.7260502983934014
0.020202020202020204,23.148835362777092,299.6106763672184,19909304.36201262,-3.71880051754459
0.030303030303030304,23.11130703730219,299.41629773997863,19864132.251701128,-3.711567124997822
0.04040404040404041,23.073851488073373,299.22210790556886,19819077.036673367,-3.7043501063375808
0.05050505050505051,23.036468715090635,299.028106863989,19774138.534328174,-3.697149447158647
0.06060606060606061,22.999158718353982,298.8342946152392,19729316.56230106,-3.6899651330661203
0.07070707070707072,22.961921497863408,298.6406711593193,19684610.938464142,-3.682797149675432
0.08080808080808081,22.924757053618915,298.4472364962294,19640021.48092622,-3.675645482612372
0.09090909090909091,22.88766520615761,298.2539903588467,19595547.836833213,-3.6685100871054
0.10101010101010102,22.850644915136197,298.0609311986651,19551188.83345129,-3.6613907726287716
0.11111111111111112,22.813696013097932,297.8680587664326,19506944.132694714,-3.6542874967203747
0.12121212121212122,22.776818500042815,297.67537306214916,19462813.556572948,-3.6472002453121757
0.13131313131313133,22.740012375970842,297.4828740858147,19418796.927325044,-3.640129004346153
0.14141414141414144,22.70327764088202,297.29056183742927,19374894.067419656,-3.6330737597743146
0.15151515151515152,22.666614294776345,297.0984363169929,19331104.799555026,-3.626034497558708
0.16161616161616163,22.630022337653816,296.90649752450554,19287428.946659,-3.619011203671454
0.17171717171717174,22.593517959789747,296.7147697573919,19243881.69769531,-3.6120066003105378
0.18181818181818182,22.557062991721104,296.5231957331392,19200426.64296565,-3.6050142220297605
0.19191919191919193,22.520679249682605,296.33180819228505,19157084.32712995,-3.598037743269644
0.20202020202020204,22.484366573808128,296.1406068949118,19113854.422978077,-3.5910771230852037
0.21212121212121213,22.448124804231547,295.9495916011016,19070736.60397913,-3.584132320582006
0.22222222222222224,22.411953781086734,295.7587620709366,19027730.544280104,-3.5772032949161043
0.23232323232323235,22.37585334450756,295.5681180644991,18984835.918704562,-3.570290005293975
0.24242424242424243,22.3398233346279,295.37765934187127,18942052.40275127,-3.5633924109724444
0.25252525252525254,22.303863591581635,295.1873856631353,18899379.6725929,-3.556510471258636
0.26262626262626265,22.267973908414156,294.99729671645895,18856817.360602595,-3.54964413757105
0.27272727272727276,22.232153848557516,294.80739183934037,18814364.883263055,-3.5427933226932704
0.2828282828282829,22.196403152106676,294.6176706390804,18772021.82510176,-3.5359579692908203
0.29292929292929293,22.1607215937894,294.4281327758719,18729787.804229073,-3.5291380259367067
0.30303030303030304,22.125108948333445,294.2387779099076,18687662.43960351,-3.522333441270244
0.31313131313131315,22.089564990466585,294.0496057013802,18645645.351029936,-3.515544163996958
0.32323232323232326,22.054089494916575,293.8606158104826,18603736.159157667,-3.5087701428884803
0.33333333333333337,22.018682236411188,293.6718078974076,18561934.48547865,-3.502011326782459
0.3434343434343435,21.98334298967818,293.4831816223478,18520239.95232559,-3.4952676645824456
0.3535353535353536,21.948071529445322,293.29473664549613,18478652.18287014,-3.4885391052578147
0.36363636363636365,21.91286770508804,293.10647273657474,18437170.8708182,-3.481825610355278
0.37373737373737376,21.877731599410392,292.91839000781204,18395795.92829301,-3.4751271805788493
0.38383838383838387,21.842663084138614,292.73048826172516,18354527.070615597,-3.468443781269209
0.393939393939394,21.807662006907016,292.54276726548153,18313363.991229665,-3.461775373774957
0.4040404040404041,21.772728215349908,292.35522678624864,18272306.3842111,-3.455121919492076
0.4141414141414142,21.737861557101603,292.1678665911939,18231353.944266737,-3.4484833798638728
0.42424242424242425,21.703061879796408,291.98068644748474,18190506.366733097,-3.4418597163809106
0.43434343434343436,21.668329031068637,291.79368612228865,18149763.347575206,-3.435250890580956
0.4444444444444445,21.6336628585526,291.60686538277304,18109124.5833853,-3.4286568640489103
0.4545454545454546,21.599063209882612,291.4202239961054,18068589.771381646,-3.4220775984167564
0.4646464646464647,21.564529937864755,291.23376173442114,18028158.614038456,-3.4155130562117573
0.4747474747474748,21.530062905530105,291.04747837967795,17987830.823590234,-3.408963201683431
0.48484848484848486,21.495661964913147,290.86137370327015,17947606.10302178,-3.402427997322259
0.494949494949495,21.46132696738605,290.67544747595576,17907484.155336164,-3.3959074055560268
0.5050505050505051,21.427057764320974,290.4896994684928,17867464.684147052,-3.3894013888584325
0.5151515151515152,21.392854207090082,290.30412945163937,17827547.393677518,-3.3829099097490376
0.5252525252525253,21.358716147065536,290.11873719615346,17787731.988758825,-3.3764329307931953
0.5353535353535354,21.324643435619503,289.9335224727932,17748018.17482928,-3.3699704146020024
0.5454545454545455,21.290635924124143,289.74848505231654,17708405.65793298,-3.363522323832231
0.5555555555555556,21.256693463951617,289.5636247054816,17668894.14471871,-3.3570886211862803
0.5656565656565657,21.22281601856276,289.3789413117964,17629483.44217434,-3.3506692877383215
0.5757575757575758,21.189003203592588,289.19443441330344,17590173.048334498,-3.344264247733605
0.5858585858585859,21.15525503136198,289.0101039369156,17550962.814896427,-3.3378734903285716
0.595959595959596,21.1215713541142,288.82594965423596,17511852.451619424,-3.3314969785433592
0.6060606060606061,21.087952024466393,288.64197133723053,17472841.66919127,-3.3251346755042865
0.6161616161616162,21.054396895409567,288.45816875822794,17433930.17922585,-3.3187865444436784
0.6262626262626263,21.020905820308606,288.2745416899196,17395117.694260873,-3.312452548699713
0.6363636363636365,20.98747865290226,288.0910899053597,17356403.927755535,-3.3061326517162453
0.6464646464646465,20.95411524730315,287.90781317796507,17317788.594088197,-3.299826817042649
0.6565656565656566,20.920815457997776,287.72471128151534,17279271.40855411,-3.293535008333654
0.6666666666666667,20.887579144539927,287.54178399474404,17240852.091512363,-3.287257190114065
0.6767676767676768,20.854406170295047,287.3590311001105,17202530.36725984,-3.2809933275726975
0.686868686868687,20.821296394329366,287.1764523758652,17164305.9568578,-3.2747433852403383
0.696969696969697,20.78824967636196,286.9940476008945,17126178.582512837,-3.2685073277970984
0.7070707070707072,20.755265876788872,286.8118165547438,17088147.96759504,-3.2622851200761063
0.7171717171717172,20.722344856683097,286.62975901761786,17050213.83663479,-3.2560767270632525
0.7272727272727273,20.689486477794603,286.4478747703807,17012375.915319614,-3.24988211389695
